Id,cuitan,sentimen
1,Lebih curious siapa impostor coretax,positif
2,Hallo Open Jasa Pajak  ~ Tanggapan SP2DK ~ Bukti Potong ~ Pembuatan Laporan Keuangan  ~ Lapor SPT Tahunan Kurang Bayar/Lebih Bayar 10jt-100jt   #jokipajak #coretax #zonauang,positif
3,Haloha Open Jasa Pajak  - Pembuatan Laporan Keuangan  - Pembuatan Neraca Laba Rugi + lapor SPT - Pembuatan Surat Keterangan Bebas Fiskal/Surat Keterangan Fiskal - Lapor SPT Tahunan Orang Pribadi UMKM Badan Usaha  - Keberatan Pajak   #jokipajak #zonauang #coretax,positif
4,Hiy Open Jasa  ~ Pembetulan SPT ~ SPT masa 15 21 22 23 26 4 (2) Bulanan Unifikasi ~ Lapor SPT Tahunan Kurang Bayar/Lebih Bayar 10jt-800jt ~ Pembuatan Surat Keterangan Bebas Fiskal/Surat Keterangan Fiskal   #zonauang #coretax  #jokipajak,positif
5,Kanwil DJP Sumatera Utara I menggelar kegiatan Sosialisasi dan Asistensi Coretax di Aula Kanwil Kementerian Agama Provinsi Sumatera Utara Rabu (16/7),positif
6,IKN kertajati kereta cepat coretax???,positif
7,Hi hi hi Open Jasa  - Lapor SPT Tahunan Orang Pribadi UMKM Badan Usaha  - Keberatan Pajak - Banding Pajak - Tanggapan SP2DK - Pembuatan Neraca Laba Rugi + lapor SPT   #zonauang #jokipajak  #coretax,positif
8,Haii Open Jasa  ~ Pembetulan SPT ~ SPT masa 15 21 22 23 26 4 (2) Bulanan Unifikasi ~ Lapor SPT Tahunan Kurang Bayar/Lebih Bayar 10jt-800jt ~ Pembuatan Surat Keterangan Bebas Fiskal/Surat Keterangan Fiskal   #zonauang  #coretax  #jokipajak,positif
9,Hellaw Open Jasa   ~ Banding Pajak ~ Bukti Potong ~ Tanggapan SP2DK ~ Pembuatan Laporan Keuangan ~ Pembuatan Neraca Laba Rugi + lapor SPT   #zonauang  #coretax  #jokipajak,positif
10,Holla Open Jasa  ~ Pembetulan SPT ~ SPT masa 15 21 22 23 26 4 (2) Bulanan Unifikasi ~ Lapor SPT Tahunan Kurang Bayar/Lebih Bayar 10jt-800jt ~ Pembuatan Surat Keterangan Bebas Fiskal/Surat Keterangan Fiskal   #zonauang #coretax #jokipajak,positif
11,Hallo Open Jasa   ~ Banding Pajak ~ Bukti Potong ~ Tanggapan SP2DK ~ Pembuatan Laporan Keuangan ~ Pembuatan Neraca Laba Rugi + lapor SPT   #zonauang #coretax #jokipajak,positif
12,Awllo Open Jasa  - Lapor SPT Tahunan Orang Pribadi UMKM Badan Usaha  - Keberatan Pajak - Banding Pajak - Tanggapan SP2DK - Pembuatan Neraca Laba Rugi + lapor SPT   #coretax  #zonauang #jokipajak,positif
13,Lapor SPT lewat Coretax Harus Punya Sertifikat Digital Ini Caranya!,positif
14,1 - 10 seberapa stress kamu ngadepin coretax?  100,positif
15,Hallo Open Jasa Pajak - Lapor SPT masa pph 21/26 PPh 23 4 ayat (2) Bulanan Unifikasi dll - Tax Planning - Menjawab SP2DK - Restitusi Pajak - Pemeriksaan Pajak #jokipajak #zonauang #coretax,positif
16,#KawanPajak Dengan Coretax data yang dilaporkan perusahaan langsung muncul di akunmu Kalau nggak muncul berarti ada beberapa hal yang bisa kamu lakukan Cek sinkronisasi data dan NIK-mu Konfirmasi juga ke pemberi kerja,positif
17,Mau buat NPWP suami kalau nggak ada suaminya emang nggak bisa tapi kalau mau lapor SPT Tahunan pakai Coretax pastinya BISA! Nggak perlu khawatir karena #KamiDampingiSampaiBerhasil Tutorial lengkap cek di sini: http://tkemenkeugoid/coretaxSPT,positif
18,#KawanPajak Dengan Coretax data yang dilaporkan perusahaan langsung muncul di akunmu Kalau nggak muncul berarti ada beberapa hal yang bisa kamu lakukanCek sinkronisasi data dan NIK-mu Konfirmasi juga ke pemberi kerja,positif
19,✅ Pastikan akun Coretax sudah aktif (bisa login)✅ Sudah pegang Kode Otorisasi DJP (KO DJP) atau Sertifikat Elektronik✅ Siapkan Bukti Potong (A1 untuk Swasta A2 untuk ASN/TNI/Polri)✅ Siapkan daftar Harta & Utang per akhir tahun pajak Kalau sudah siap semua langsung,positif
20,Kegiatan ini bertujuan untuk membantu #KawanPajak di wilayah tersebut untuk melakukan aktivasi akun Coretax melaporkan SPT Tahunan PPh dan memberikan layanan konsultasi perpajakan lainnya #KamiDampingiSampaiBerhasil,positif
21,Helo Open Jasa Pajak - Input + Pembuatan Bukti Potong - Pembuatan Laporan Keuangan - Pembetulan SPT TAHUNAN - Lapor SPT Tahunan : Kurang Bayar/Lebih Bayar Orang Pribadi Pegawai/Freelance/UMKM Badan Usaha #zonauang #coretax #jokipajak,positif
22,@kring_pajak suami istri dokter berpraktek Di coretax istri ikhtisar profil WP status NPWP=NONAKTIF Status istri di coretax suami&coretax istri=Tertanggung SPT 2024 lapor PISAH Di SPT 2025 pelaporan SPT gabung via coretax suami? Bupot 2025 istri ADA di coretax suami,positif
23,Suasana Pojok Pajak di Pulau Tidung hari ini (18/02/2026) #KawanPajak di Pulau Tidung tampak antusias mendatangi Pojok Pajak untuk melaporkan SPT Tahunan melalui Coretax Antusiasme yang luar biasa ini tentu patut kita apresiasi 🙌🏻,positif
24,Mau lapor SPT lewat Coretax tapi masih ragu? Gak perlu pusing sendiri! #KawanPajak bisa ikut Kelas Pajak GRATIS yang diadakan oleh kantor pajak Program ini terbuka untuk umum dan #KamiDampingiSampaiBerhasil Cek jadwal berkala di: http://skemenkeugoid/InfoKelasPajak,positif
25,Butuh bantuan seputar Coretax tapi takut ribet? Buang jauh-jauh rasa khawatirmu dan hindari jasa calo karena layanan DJP sepenuhnya GRATIS Untuk pendampingan tatap muka #KawanPajak bisa langsung mendatangi Helpdesk di KPP KP2KP atau Kanwil terdekat Kabar baik nih #KawanPajak Layanan helpdesk Coretax juga dibuka di Kantor Pusat DJP dengan kuota terbatas hanya untuk 200 orang per hari Isi dahulu antrean di https://tco/bp0jsVRFpf Jadi persiapkan jadwalmu dan manfaatkan layanan resmi kami karena #KamiDampingiSampaiBerhasil!,positif
26,Mau buat NPWP suami kalau nggak ada suaminya emang nggak bisa tapi kalau mau lapor SPT Tahunan pakai Coretax pastinya BISA! Urusan pajak kini makin mudah data otomatis tersedia dan prosesnya cepat Nggak perlu khawatir karena #KamiDampingiSampaiBerhasil,positif
27,#KawanPajak ada pesan dari Kak Prilly ( @prillylatuconsina96 ) nih! Yuk segera laporkan SPT Tahunan lewat Coretax di https://coretaxdjppajakgoid/ Masih butuh bantuan atau ada kendala? Tenang #KamiDampingiSampaiBerhasil Panduan juga dapat diakses di https://tkemenkeugoid/CoretaxSPT,positif
28,Bikin lewat coretax gampang,positif
29,sudah saatnya saya adios dan sayonara ke audit dan beralih ke FAT path aja ARGHHH mending baku hantam sama accurate coretax ketimbang excel (REAL) 😵😵😵,positif
30,gila ya baru lancar coretax jam segini hhhhh,positif
31,gampang bawa fc ktp+kk jgn lupa bawa pulpen buat ngisi form 10mnit nnti langsung jadi se kartu kartunya kmrn juga bikin di coretax tulisannya nik diduplikasi,positif
32,This is hilarious lmao Keren banget ketikannya ketikan orang beriman banget 🥰,positif
33,dateng langsung aja ke djp terdekat lebih cepet gaperlu ribet coretax,positif
34,#KawanPajak kamu sudah melakukan aktivasi akun Coretax DJP? Pengguna sistem Coretax DJP kamu tidak perlu khawatir Kami melindungi data perpajakan seluruh wajib pajak yang ada dalam sistem Coretax DJP agar tetap aman dan tidak diakses oleh pihak yang tidak berhak,positif
35,Tangkapan layar yang menunjukkan tulisan \Server Coretax\"" adalah layar login ke sistem Windows pada komputer/PC yang salah satu akun user-nya menggunakan nama \""Server Coretax\"" Tangkapan layar yang beredar tersebut sama sekali tidak berasal dari komputer milik DJP khususnya server Coretax DJP Jadi jangan khawatir ya #KawanPajak Manfaatkan sistem Coretax agar urusan perpajakan jadi lebih relax,positif
36,thank you coretax hari ini ngga selemot bulan kemarin,positif
37,aduh kalo udah dibutakan kebencian mah sulit nyampe otaknya wkwk lancar2 dah coretax lu,positif
38,DJP Segera Punya Kendali Penuh Coretax Bakal Siap Berfungsi 100% Simak rangkuman artikel perpajakan terpopuler dalam sepekan terakhir periode 24-28 November 2025 #ddtc #ddtcnews #beritapajaksepekan #coretax #coretaxsystem #SPTTahunan https://newsddtccoid/djp-segera-punya-kendali-penuh-coretax-bakal-siap-berfungsi-100-1815551?utm_source=x&utm_medium=social&utm_campaign=br,positif
39,Hai #KawanPajak! 👋🏻 Siapa yang sudah registrasi KO DJP? 🙋🏻‍♀️🙋🏻 Eits kamu belum? Masih bingung caranya? Yuk simak langkah-langkahnya di video ini! 🎥 Dengan Coretax DJP urusan pajak jadi makin relax 💻,positif
40,Coretax merupakan sistem administrasi perpajakan terintegrasi yang memudahkan Wajib Pajak mengakses layanan perpajakan secara digital cepat dan aman,positif
41,Sampurasun Sobatnet Istimewa! Bayar pajak sekarang makin praktis dengan Coretax 💻✨ Lewat sistem digital yang terintegrasi proses pelaporan dan pembayaran pajak jadi lebih cepat transparan dan efisien,positif
42,Terus lapornya gimana di Coretax? Tenang Coretax punya fitur Prepopulated Data! Artinya kalau cashback kamu memang objek pajak dan sudah dipotong pajaknya oleh marketplace bukti potongnya akan masuk secara otomatis ke draft SPT Tahunan kamu,positif
43,I just realized this morning that due to the system core tax in Indonesia that got revamped last year I don't even have to fill out anything anymore The company will file my taxes for me~ I would never expect to say this but I'm happy to be a corporate slave :D,positif
44,Di coretax udah semi otomatis - nilai penghasilan dr bukti potong udah masuk - bukti potongnya sekalian udah masuk - harta & utang udah masuk sama dg tahun lalu tinggal edit aja yg berubah Kecuali penghasilan yg ga ada bukti potongnya yg harus input sendiri,positif
45,#SemetonPajak masih bingung gimana cara lapor SPT Tahunan Orang Pribadi pakai Coretax ? Kami akan dampingi sampai berhasil Kanwil DJP Bali memberikan layanan : ✅️ Pelaporan SPT Tahunan PPh Orang Pribadi ✅️ Aktivasi Coretax dan KO DJP ✅️ Perubahan data nomor HP & e-Mail,positif
46,Yuk! Lapor pajak lewat Coretax 😉 Wargi masih bingung cara lapornya gimana? Simak lengkapnya dalam grafis 🥰🙏🏻 #LemburDiurusKotaDitata #JabarIstimewa #KDMErwan #Coretax #SPT,positif
47,Lapor SPT Tahunan Orang Pribadi sekarang makin mudah lewat Coretax! 📲Di The Meru Sanur kami berbagi edukasi langsung tentang cara lapor pajak yang cepat dan tepat #RenjaniMengabdi #RenjaniBali2026 #LaporSPTTahunan #LebihAwalLebihNyaman #RenjaniBaliSiapDampingi🔥🔥,positif
48,Keknya gua udah tau caranya ngisi coretax yg langsung autofill deh,positif
49,Ada pesan dari Kak Prilly (@prillylatuconsina96 ) nih! Yuk segera laporkan SPT Tahunan lewat Coretax di https://coretaxdjppajakgoid/ Masih butuh bantuan atau ada kendala? Tenang #KamiDampingiSampaiBerhasil Panduan juga bisa diakses di https://tkemenkeugoid/CoretaxSPT,positif
50,Saya mengikuti perjalanan Coretax sejak awal Saya sejak dulu meyakini ini akan jadi game changer bagi sistem perpajakan Indonesia Tak hanya kemudahan pelayanan tetapi juga administrasi yang lebih transparan dan akuntabel,positif
51,Butuh bantuan seputar Coretax tapi takut ribet? Buang jauh-jauh rasa khawatirmu dan hindari jasa calo karena layanan DJP sepenuhnya GRATIS,positif
52,Hai #KawanPajak tersedia penghapusan sanksi administratif atas keterlambatan pembayaran dan/atau pelaporan pajak sehubungan dengan implementasi Coretax DJP Simak infografis berikut ini ini untuk informasi lebih lanjut,positif
53,Kegiatan ini merupakan bagian dari rangkaian layanan luar kantor untuk membantu Wajib Pajak untuk : • Aktivasi Akun Coretax • Asistensi Pelaporan SPT Tahunan • Registrasi Kode Otorisasi Lapor pajak lebih awal hati lebih tenang #kamidampingisampaiberhasil,positif
54,#KawanPajak tetap semangat kan? 😁 Walau gagal potong rambut tetap gas 💪 lapor SPT Tahunan Apalagi bukti potong sudah mudah didapat Yuks segera laporkan SPT Tahunanmu melalui Coretax https://coretaxdjppajakgoid,positif
55,Kenapa harus aktivasi Coretax? ✔ Akses layanan pajak lebih cepat ✔ Data lebih terintegrasi ✔ Pelaporan SPT jadi lebih mudah Aktivasi sekarang biar urusan pajak makin praktis & efisien ✨ #Coretax #SPTTahunan #PajakIndonesia,positif
56,@ditjenpajakri #KawanPajak tetap semangat kan? 😁 Walau gagal potong rambut tetap gas 💪 lapor SPT Tahunan Apalagi bukti potong sudah mudah didapat Yuks segera laporkan SPT Tahunanmu melalui Coretax https://coretaxdjppajakgoid,positif
57,Bukan ribet cuma belum terbiasa aja! Yuk mulai kenalan sama Coretax biar lapor SPT makin lancar Follow Us Instagram: btsconsulting_gresik Tiktok: PT Berkah Taxindo Sejahtera Facebook: Tuntas Pajak Id Threads: btsconsulting_gresik Email: berkahtaxindosejahtera@gmailcom,positif
58,KPP Pratama Semarang Selatan melaksanakan kegiatan Pojok Pajak di Kelurahan Wonodri tanggal 11 dan 12 Februari 2026 Kegiatan ini bertujuan untuk membantu Wajib Pajak dalam melakukan pelaporan SPT Tahunan PPh Orang Pribadi dan Badan melalui Coretax Yuk #KawanPajak segera lapor,positif
59,Ada pesan dari Kak Prilly (@prillylatuconsina96 ) nih! Yuk segera laporkan SPT Tahunan lewat Coretax di https://coretaxdjppajakgoid/ Masih butuh bantuan atau ada kendala? Tenang #KamiDampingiSampaiBerhasil Panduan juga bisa diakses di https://tkemenkeugoid/CoretaxSPT @pajaktangtim,positif
60,#KawanPajak mau lapor tapi masih ragu dan bingung pakai Coretax DJP? Jangan ragu buat cari tahu karena Direktorat Jenderal Pajak siap menemani #KawanPajak langkah demi langkah Lapor SPT sampai tuntas Intip panduan lengkap di laman ini ya! http://tkemenkeugoid/coretaxSPT,positif
61,Puas banget pakai Coretax lapornya jadi puas,positif
62,Aplikasi Coretax tampilannya lengkap pol keren DJP,positif
63,Server Aplikasi Coretax efisien banget pagi ini,positif
64,Sistem Coretax jauh recommended dari e-filing lama,positif
65,Ada progress Aplikasi Coretax progress sekarang,positif
66,Puas banget pakai Sistem Coretax lapornya jadi memudahkan,positif
67,Fitur Aplikasi Coretax mantap dan terintegrasi,positif
68,Server Portal Coretax cepat banget pagi ini,positif
69,Sistem Coretax recommended buat semua wajib pajak,positif
70,Ada progress Coretax DJP sudah diperbaiki sekarang,positif
71,Puas banget pakai Portal Coretax lapornya jadi membantu,positif
72,Fitur Coretax DJP lengkap dan terintegrasi,positif
73,Server Sistem Coretax efisien banget pagi ini,positif
74,Coretax DJP recommended buat semua wajib pajak,positif
75,Ada progress Coretax DJP progress sekarang,positif
76,Puas banget pakai Coretax lapornya jadi memudahkan,positif
77,Sistem Coretax tampilannya mantap pol keren DJP,positif
78,Server Sistem Coretax efisien banget pagi ini,positif
79,Coretax DJP recommended buat semua wajib pajak,positif
80,Ada progress Coretax update bagus sekarang,positif
81,Coretax sangat membantu pelaporan pajak saya,positif
82,Fitur Aplikasi Coretax bagus dan terintegrasi,positif
83,Server Portal Coretax lancar banget pagi ini,positif
84,Aplikasi Coretax lebih baik buat semua wajib pajak,positif
85,Update terbaru Sistem Coretax update bagus dan jauh lebih stabil,positif
86,Puas banget pakai Aplikasi Coretax lapornya jadi senang,positif
87,Fitur Aplikasi Coretax modern dan terintegrasi,positif
88,Server Coretax DJP efisien banget pagi ini,positif
89,Coretax DJP jauh recommended dari e-filing lama,positif
90,Update terbaru Aplikasi Coretax progress dan jauh lebih stabil,positif
91,Coretax DJP sangat membantu pelaporan pajak saya,positif
92,Fitur Portal Coretax lengkap dan terintegrasi,positif
93,Proses upload dokumen di Sistem Coretax responsif,positif
94,Coretax DJP recommended buat semua wajib pajak,positif
95,Update terbaru Sistem Coretax progress dan jauh lebih stabil,positif
96,Aplikasi Coretax sangat membantu pelaporan pajak saya,positif
97,Fitur Sistem Coretax lengkap dan terintegrasi,positif
98,Server Coretax lancar banget pagi ini,positif
99,Portal Coretax jauh recommended dari e-filing lama,positif
100,Ada progress Sistem Coretax progress sekarang,positif
101,Puas banget pakai Coretax lapornya jadi memudahkan,positif
102,Portal Coretax tampilannya user friendly pol keren DJP,positif
103,Proses upload dokumen di Portal Coretax cepat,positif
104,Coretax wajib coba buat semua wajib pajak,positif
105,Ada progress Portal Coretax progress sekarang,positif
106,Puas banget pakai Coretax lapornya jadi puas,positif
107,Coretax tampilannya user friendly pol keren DJP,positif
108,Proses upload dokumen di Coretax DJP lancar,positif
109,Coretax DJP recommended buat semua wajib pajak,positif
110,Ada progress Portal Coretax update bagus sekarang,positif
111,Puas banget pakai Sistem Coretax lapornya jadi membantu,positif
112,Aplikasi Coretax tampilannya user friendly pol keren DJP,positif
113,Proses upload dokumen di Sistem Coretax efisien,positif
114,Portal Coretax recommended buat semua wajib pajak,positif
115,Update terbaru Coretax update bagus dan jauh lebih stabil,positif
116,Aplikasi Coretax sangat membantu pelaporan pajak saya,positif
117,Fitur Sistem Coretax bagus dan terintegrasi,positif
118,Server Sistem Coretax efisien banget pagi ini,positif
119,Coretax wajib coba buat semua wajib pajak,positif
120,Ada progress Aplikasi Coretax progress sekarang,positif
121,Puas banget pakai Coretax DJP lapornya jadi senang,positif
122,Fitur Aplikasi Coretax user friendly dan terintegrasi,positif
123,Proses upload dokumen di Portal Coretax efisien,positif
124,Aplikasi Coretax jauh recommended dari e-filing lama,positif
125,Update terbaru Aplikasi Coretax progress dan jauh lebih stabil,positif
126,Aplikasi Coretax sangat membantu pelaporan pajak saya,positif
127,Fitur Aplikasi Coretax user friendly dan terintegrasi,positif
128,Server Coretax lancar banget pagi ini,positif
129,Coretax recommended buat semua wajib pajak,positif
130,Update terbaru Portal Coretax update bagus dan jauh lebih stabil,positif
131,Sistem Coretax sangat membantu pelaporan pajak saya,positif
132,Fitur Sistem Coretax lengkap dan terintegrasi,positif
133,Server Coretax efisien banget pagi ini,positif
134,Coretax jauh recommended dari e-filing lama,positif
135,Ada progress Aplikasi Coretax progress sekarang,positif
136,Puas banget pakai Sistem Coretax lapornya jadi senang,positif
137,Fitur Portal Coretax user friendly dan terintegrasi,positif
138,Server Coretax DJP responsif banget pagi ini,positif
139,Sistem Coretax wajib coba buat semua wajib pajak,positif
140,Update terbaru Coretax DJP sudah diperbaiki dan jauh lebih stabil,positif
141,Puas banget pakai Aplikasi Coretax lapornya jadi puas,positif
142,Fitur Aplikasi Coretax bagus dan terintegrasi,positif
143,Server Portal Coretax lancar banget pagi ini,positif
144,Coretax recommended buat semua wajib pajak,positif
145,Update terbaru Coretax sudah diperbaiki dan jauh lebih stabil,positif
146,Puas banget pakai Aplikasi Coretax lapornya jadi membantu,positif
147,Portal Coretax tampilannya user friendly pol keren DJP,positif
148,Proses upload dokumen di Aplikasi Coretax responsif,positif
149,Sistem Coretax lebih baik buat semua wajib pajak,positif
150,Update terbaru Coretax sudah diperbaiki dan jauh lebih stabil,positif
151,Puas banget pakai Coretax lapornya jadi memudahkan,positif
152,Coretax DJP tampilannya user friendly pol keren DJP,positif
153,Proses upload dokumen di Coretax DJP cepat,positif
154,Coretax jauh wajib coba dari e-filing lama,positif
155,Ada progress Sistem Coretax progress sekarang,positif
156,Coretax sangat membantu pelaporan pajak saya,positif
157,Fitur Coretax bagus dan terintegrasi,positif
158,Server Coretax cepat banget pagi ini,positif
159,Coretax DJP jauh recommended dari e-filing lama,positif
160,Update terbaru Coretax DJP sudah diperbaiki dan jauh lebih stabil,positif
161,Coretax DJP sangat membantu pelaporan pajak saya,positif
162,Fitur Portal Coretax mantap dan terintegrasi,positif
163,Proses upload dokumen di Aplikasi Coretax efisien,positif
164,Sistem Coretax jauh lebih baik dari e-filing lama,positif
165,Ada progress Coretax DJP update bagus sekarang,positif
166,Puas banget pakai Aplikasi Coretax lapornya jadi puas,positif
167,Fitur Portal Coretax bagus dan terintegrasi,positif
168,Proses upload dokumen di Sistem Coretax responsif,positif
169,Coretax DJP jauh recommended dari e-filing lama,positif
170,Update terbaru Coretax DJP progress dan jauh lebih stabil,positif
171,Portal Coretax sangat membantu pelaporan pajak saya,positif
172,Coretax DJP tampilannya bagus pol keren DJP,positif
173,Proses upload dokumen di Portal Coretax responsif,positif
174,Coretax DJP recommended buat semua wajib pajak,positif
175,Update terbaru Sistem Coretax sudah diperbaiki dan jauh lebih stabil,positif
176,Puas banget pakai Sistem Coretax lapornya jadi senang,positif
177,Fitur Coretax modern dan terintegrasi,positif
178,Proses upload dokumen di Sistem Coretax efisien,positif
179,Portal Coretax jauh wajib coba dari e-filing lama,positif
180,Update terbaru Portal Coretax progress dan jauh lebih stabil,positif
181,Puas banget pakai Sistem Coretax lapornya jadi membantu,positif
182,Coretax tampilannya modern pol keren DJP,positif
183,Server Coretax DJP efisien banget pagi ini,positif
184,Aplikasi Coretax wajib coba buat semua wajib pajak,positif
185,Ada progress Sistem Coretax progress sekarang,positif
186,Puas banget pakai Coretax lapornya jadi memudahkan,positif
187,Sistem Coretax tampilannya modern pol keren DJP,positif
188,Server Portal Coretax efisien banget pagi ini,positif
189,Sistem Coretax jauh lebih baik dari e-filing lama,positif
190,Ada progress Coretax sudah diperbaiki sekarang,positif
191,Sistem Coretax sangat membantu pelaporan pajak saya,positif
192,Coretax tampilannya modern pol keren DJP,positif
193,Server Sistem Coretax responsif banget pagi ini,positif
194,Coretax wajib coba buat semua wajib pajak,positif
195,Ada progress Aplikasi Coretax sudah diperbaiki sekarang,positif
196,Coretax sangat membantu pelaporan pajak saya,positif
197,Fitur Portal Coretax bagus dan terintegrasi,positif
198,Server Coretax responsif banget pagi ini,positif
199,Coretax lebih baik buat semua wajib pajak,positif
200,Update terbaru Portal Coretax progress dan jauh lebih stabil,positif
201,@kring_pajak  Pagi Min Mau tanya saya dapat Faktur Pajak Fisik dari Lawan Transaksi dengan nomor yang berbeda ketika saya lihat di coretax namun ketika saya Download PDF atas Faktur Pajak tersebut sesuai dengan fisiknyaapakah masih bisa dikreditkan Faktur Pajak Tersebut? Thanks,netral
202,@kring_pajak  ka mau tnya saya mau buat pembetulan SPT PPh Masa Jan krn ada kesalahan input jenis pasal PPh yg berakibat adanya lbh bayar  1 Trs saya mau mengajukan PBKnya apakah melalui coretax atau msh bisa secara manual (tulis surat ke KPP) ka?,netral
203,Oh iya trs utk pph final bulan juli kemarin saya sudah bayar dan saya cek di coretax billingnya masih tertunggak Tolong atur dulu,netral
204,Kak untuk lewat efaktur dekstop kan tidak ada satuan unit di faktur pajaknya itu bagaimana ya?  Karena di efaktur dekstop kan tidak ada dan tidak support untuk keterangan satuan tetapi di cek coretax bagian satuannya otomatis terisi dengan satuan lainnya,netral
205,Ayo kejar Coretax!,netral
206,Hai Kak Deposit Pajak dapat digunakan untuk pembayaran tunggakan pajak yang Wajib Pajak miliki ya Kakak dapat mengaksesnya pada akun Coretax dengan mengikuti langkah-langkah sebagai berikut: a Pilih modul Pembayaran b Pilih Pembuatan Billing atas Tagihan Pajak c Pilih,netral
207,#KawanPajak Mulai 2026 pelaporan SPT Tahunan PPh 2025 dilakukan lewat Coretax DJP Setelah aktivasi akun buat Kode Otorisasi/Sertifikat Digital (KO/SD) untuk menandatangani SPT Caranya? Login ke Coretax DJP > Portal Saya > Permintaan KO/SD,netral
208,@kring_pajak  min aku ada retur 2025 masukan atas referensi FP 2024 tapi status FP di coretax masih Approved padahal di efaktur desktop sudah terkreditkan Solusinya apa ya min?,netral
209,Hai Kak  Apakah yang dimaksud bukti potong A1 untuk tahun pajak 2025?    Notifikasi """"NIK invalid"""" pada laman Coretax disebabkan karena atas NIK tersebut belum pemadanan/belum aktivasi NIK sebagai NPWP/belum registrasi akun Coretax  Apabila lawan transaksi telah memenuhi,netral
210,Nah kalau impor xml kan detail transaksinya kita yang input sendiri nih kak di xml terus baru diimpor ke coretax Maksud saya dengan cara seperti itu apakah data yang saya input tetap tervalidasi/connect/ngelink dengan data yang ada di djbc?,netral
211,@kring_pajak  apa perbedaan kode jasa 160100 dengan kode jasa 16101 pada coretax? Lalu jika saya mau menerbitkan FP atas jasa manajemen menggunakan kode jasa yg mana ya? Tks,netral
212,Hai Kak Mohon maaf atas ketidaknyamanannya Taxmin ralat informasi pada jawaban sebelumnya ya Kak Untuk saat ini belum tersedia fitur untuk melakukan unduh bukti potong PPh Unifikasi secara masal pada aplikasi Coretax  Tks*Isto,netral
213,Hai Kak Jika mengalami kendala seperti itu maka artinya NIK telah terdaftar sebagai NPWP di Coretax Penjelasan selengkapnya telah ada di balasan tweet di bawah ini ya Kak  Tks*Amma,netral
214,24 Juni 2025 – KPP Pratama Bengkalis bersama KP2KP Duri mengadakan sosialisasi Coretax DJP bagi Bendahara Pemerintah Kecamatan Talang Muandau Kegiatan ini jadi bagian dari upaya peningkatan layanan perpajakan di wilayah Kabupaten Bengkalis 1/3,netral
