id,author_id,created_at,text
1,ir_hafidz,2025-07-19T08:00:16.000Z,"Jan 2025/ CORETAX!!!  @DJPPRkemenkeu July 2025/ Alm Deplu kasus dilakban, Tom Lembong 4,5y #ripjustice"
2,wargalocals,2025-07-19T07:51:26.000Z,coretax memex
3,shafwanisme,2025-07-19T07:44:37.000Z,"Coretax, Food Estate, IKN..  next case : DANANTARA"
4,Wa_Gu_Wa,2025-07-19T07:22:49.000Z,"China melarang tapi kasih solusi, gmaps ga boleh tapi maps baidu jauh lebih unggul. WhatsApp ngga bolrh tapi Wechat jauh lebih unggul. Indonesia?? Buat aplikasi KTP Digital aja error mulu, Coretax yg biayanya Triliunan saja Error sana sini."
5,SuamiMarlina,2025-07-19T07:10:59.000Z,Hahahah... Kayak coretax
6,nvn_hdyt,2025-07-19T07:09:50.000Z,Sangat mungkin. Dan sepertinya coretax bukanlah permasalahan pertama yang dijadikan bargaining rezim.
7,onlyniaa,2025-07-19T06:31:09.000Z,"@kring_pajak  halo min, bagaimana cara membuat faktur pajak keluaran yang digunggung pada coretax?"
8,ArpandeniP,2025-07-19T06:27:46.000Z,"@kring_pajak  min, bgaimana cara melakukan pemindahbukuan di coretax? Sy salah setor utk tahun pajaknya, harusnya 2025 tapi billingnya terbuat 2026 dan sdh setor. Ini utk PPN KMS & angsuran pph 25. Mohon tutornya"
9,mynameprada,2025-07-19T05:43:01.000Z,Anak2 perlente BCG dipenjara? Waduh penuh tuh entar Salemba  *BCG pemenang tender Coretax Vanuatu   @PNS_Ababil    Ini Salemba Vanuatu ya geeesss
10,cyberianhusk,2025-07-19T05:24:30.000Z,"Ehm, coretax"
11,F2aldi,2025-07-19T05:14:33.000Z,"Contoh nyata: Coretax — aplikasi pajak senilai triliunan. Proyek semrawut, implementasi buruk, banyak bug fatal. Anggaran besar tapi hasil amburadul → kerugian negara"
12,ye_ierwe,2025-07-19T05:07:57.000Z,Padahal yang jelas2 keilangan pemasukkan negara yaa coretax
13,kappascorpiii,2025-07-19T05:05:02.000Z,now jail everyone involved in coretax’s mastermind
14,Gendoet3G,2025-07-19T05:00:08.000Z,"Nah, hallo coretax !!!"
15,ParisNonik,2025-07-19T04:48:58.000Z,"Coretax tu bagian dr gemukin binatang. Staff yg kerjakan coretax, lembur kan? Kalo dibayar, dpt tunj konsumsi, transport -> pph 21 tuh. Telat bayar n lapor gara2 coretax error, fiturnya ngga WP friendly, bikin salah dikit betulinnya ribet? STP Denda bunga, dapet lg kan."
16,RamsDews,2025-07-19T04:41:42.000Z,"Another project to be corrupted then, coretax here we come …."
17,EnforceA_info,2025-07-19T04:41:10.000Z,Belajar Pajak Digital bareng mahasiswa? Bisa banget!  EnforceA x SWINS sukses ngobrolin:  Pajak Digital  Coretax DJP  Pajak UMKM  Karir Dunia Pajak Kampusmu mau juga?  DM kami atau klik link di bio! #PajakDigital #MahasiswaPahamPajak #CoretaxDJP #EnforceAxSWINS #UMKM
18,HakunaM24121873,2025-07-19T04:32:57.000Z,Ga bakalan. Lu semua bakalan tetap menderita krn coretax soalnya yg bikin  dilindungi penguasa.
19,yellowvespaguy,2025-07-19T03:53:14.000Z,Lebih curious siapa impostor coretax
20,jeanunnie_13,2025-07-19T03:48:20.000Z,"@kring_pajak  min ini coretax masih error kh??? aku impor xml masih ada aja yg buyer idtku invalid  dulu"" bisa aja pdahal, tlong la min"
21,BellaFelani614,2025-07-19T03:42:33.000Z,@kring_pajak  min apakah Coretax masih Error?
22,godfathzr,2025-07-19T03:38:25.000Z,Coretax kan proyeknya si mul… asal jilatin raja terus bakal aman sampe 2029…
23,zetsupth,2025-07-19T03:27:19.000Z,jadi tahanan politik dong coretax itu pemerataan penderitaan
24,merelynpc,2025-07-19T03:12:25.000Z,Emang ada apa dengan coretax? Sbagai pengguna awam cukup friendly user sih no complain
25,jangankasitau,2025-07-19T02:40:59.000Z,"@kring_pajak  kalo ada retur pajak masukan atas fp uang muka tahun sebelum coretax, apakah keterangan diretur tersebut mengikuti keterangan yang ada di fp uang muka yang mana keterangannya ""Uang Muka"" atau mengikuti yang ada di FP Pelunasan berupa nama barang? yg diretur barangnya"
26,AoyamaLuthfan,2025-07-19T02:38:35.000Z,Proyek tanpa bantuan KPK juga bahaya min seperti kasus Coretax
27,pajaksidrap,2025-07-19T02:38:30.000Z,"#KawanPajak, waspada penipuan yang mengatasnamakan DJP!  Modus penipuan seperti phising, sniffing, dan social engineering kembali marak, termasuk yang dikaitkan dengan implementasi Coretax DJP."
28,txtdaritaxpayer,2025-07-19T02:34:45.000Z,Mungkinkah Coretax adalah bargaining rezim agar SMI stay and comply?
29,adoreablemint,2025-07-19T02:28:34.000Z,Kalau hanya mengikuti coretax saja artinya tidak konsisten dong? Mana bisa begitu Kenapa banyak banget sih problemnya ini
30,sambattrusbro,2025-07-19T02:06:11.000Z,"Coretax sama ikn mangkrak itu rugikan negara triliunan loh, kok pada ga ditangkep dalangnya, ini cuma gara gara ga berhasil nurunin harga gula jadi tersangka dan dipenjara, komedi banget ini negara"
31,eruditionista,2025-07-19T01:09:35.000Z,Hello coretax and IKN.
32,RexsClawz,2025-07-19T00:26:15.000Z,"ni coretax lagi error ya? kenapa tiap masukin npwp kolom alamat sama id tkunya ga muncul kalo di import juga dia gagal dengan status ""BuyerIDTKU is invalid"" dari 30 npwp yg reject 6 dengan case yang sama, ada solusinya gak  @kring_pajak"
33,GreatLyndis,2025-07-18T23:58:50.000Z,Coretax
34,dawgfromdahood,2025-07-18T22:45:06.000Z,Coretax itu proyekannya ibu Sri Mulyani?
35,derafa74,2025-07-18T21:31:03.000Z,"Gegara potensial lost? Baru potensial? coba arahkan  perhatian pd systen coretax DJP yg sampai saat ini masih amburadul errornya, berbiaya 1,8T dlm pmbuatannya, pdhal coretax slh satu system yg diandalkan u mngumpulkan pajak saat ini , smoga ada para ahli mnganalisa ini"
36,gregogur,2025-07-18T21:09:03.000Z,Wkwkkwwk yang jelas-jelas merugikan negara secara besar aja ga dikasusin. Coretax
37,iniashee,2025-07-18T19:33:42.000Z,"Coretax, IKN, MBG   Belum aplikasi aplikasi pemerintah yang mudah buat mudah juga hilangnya, padahal proyek pengadaannya ga main main dananya..."
38,MakariOhMakari,2025-07-18T17:18:45.000Z,"OPEN JASA/JOKI PENGERJAAN LAPORAN KEUANGAN DAN AKUNTANSI + PERPAJAKAN   - Pph21, Pph23, Pph25, Final, dll - bisa sesuai request - harga bersahabat - untuk tugas maksimal S1 akuntansi/perpajakan  #zonauang #djp #coretax #pajak #jasakeuangan"
39,AikHoki,2025-07-18T17:13:02.000Z,coretax
40,ethereaals,2025-07-18T16:59:52.000Z,"Jawabannya gini mulu.. awas aja kalo telat lapor terus kena denda, coretax lu tuh benerin dulu! Proyek besar tp hasil gak mutu. Udh 7 bulan masih aja nyusahin wp, at least kasih kepastian gimana nasib wp yg jadi telat lapor karena kesalahan dari sistem lu itu"
41,tahu_tek_,2025-07-18T15:59:48.000Z,"Sejujurnya ini ide yang worth it untuk di-explore, karena - Anggaran Coretax besar, disaat sistem yg dihasilkan ""meh"" - Banyak hipotesa, pendapatan dan pelaporan pajak menurun karena Coretax mempersulit proses perpajakan  Pengen banget ini diusut"
42,kittybunnyna,2025-07-18T15:54:25.000Z,"ilmu perpajakan gua beneran kek masih the tip of the iceberg, skrg makin bingung krn pake coretax gaada tutorialnya buat kasus yg ini"
43,tembokmall,2025-07-18T15:42:38.000Z,nanti lapor spt tahunannya ujung2nya ke coretax sih thn besok klo thn ini kan ke web djp nah thn besok pasti dah ke coretax
44,wibowo_choir,2025-07-18T15:05:29.000Z,"Tax, coretax, coretax, coretax... Negara rugi karena coretax   *Pake nada lagu anak ayam turun berkotek"
45,midazolammmmm,2025-07-18T15:00:55.000Z,"Coretax, beberapa bumn juga, kalo mau dicari potential lossnya mah banyak bgttt"
46,bapaeta,2025-07-18T14:59:48.000Z,Ayo kejar Coretax!
47,erbie_regnal,2025-07-18T14:56:40.000Z,"coretax sampe skrg gimana dah kelanjutannya, itu kan apa bukan kerugian negara ya? karena mempersulit orang bayar pajak dan akhir e emg banyak yg ga bayar pajak. sama sama potential loss dong kaya kasusnya gula ini? apa bisa dipidana juga?"
48,auliarossari,2025-07-18T14:55:48.000Z,Jangan lupa coretax
49,myrashafa,2025-07-18T14:54:55.000Z,coretax merugikan rakyat bukan cuma uang tp tenaga & mental
50,nyimanyim,2025-07-18T14:51:02.000Z,"IKN, Food Estate, Coretax, MBG, Chromebook.  Tapi yg dipenjara Tom Lembong."
51,rizletmk,2025-07-18T14:29:41.000Z,"Coretax Sampe triliun, Bandara kertajati itu apa ya bang"
52,adawamanarp,2025-07-18T13:59:37.000Z,"Kalo batasannya setipis itu, gw rasa penjara akan penuh, gw seneng, tp gw tau ini semua mungkin krn Tom oposisi aja. Kabinet Jokowi dua periode aja semua korup kalo gitu, Coretax apa kabar? IKN? MBZ? Food estate?"
53,Br__AM,2025-07-18T13:57:49.000Z,oopss coretax juga
54,PajakGropet,2025-07-18T13:57:31.000Z,"#KawanPajak, waspada penipuan yang mengatasnamakan DJP!  Modus penipuan seperti phising, sniffing, dan social engineering kembali marak, termasuk yang dikaitkan dengan implementasi Coretax DJP."
55,dearwonwo0,2025-07-18T13:53:45.000Z,Coretax bener2 lah bikin w mumet seharian
56,DavidHDS1,2025-07-18T13:51:42.000Z,Pdhl lebih parah pengadaan Coretax ga sih ???
57,Pip1902,2025-07-18T13:50:02.000Z,"Hadeh, bung coretax anda saja penuh drama berjilid-jilid  @DitjenPajakRI"
58,peppsky,2025-07-18T13:44:16.000Z,Coretax ??
59,Tokopaediii,2025-07-18T13:43:26.000Z,"Lah tolol, apa kabar coretax yang merugikan negara sampe triliunan. Sementara Tom Lembong 1 rupiah pun gak pernah terbukti masuk ke kantong pribadinya."
60,ravonnarenss,2025-07-18T13:42:43.000Z,Gw sumpahin yg bikin coretax boolnya disumpel dildo berdiameter 30 cm sampe botol mijon bisa masuk ke sana
61,daffarayhanz_,2025-07-18T13:36:16.000Z,potensi kerugian dianggap merugikan negara noh liat coretax ga beres-beres padahal tender gede kualitas ecek ecek.. cih  https://tempo.co/ekonomi/penerimaan-pajak-merosot-apindo-hingga-kini-coretax-masih-banyak-masalah-1220676#goog_rewarded…
62,lluvbluue,2025-07-18T13:10:43.000Z,wkwkwk kalo kaya gitu mah mending bubarin coretax sekalian biar gabisa bikin faktur pajak trs jadinya gaada setoran ppn deh
63,RendyAksa__,2025-07-18T13:08:55.000Z,"Kalau pakai logika yang sama, IKN allegedly ‘sunk cost’, Coretax mengurangi penerimaan negara karena banyak errornya. Korupsi bukan???"
64,jumpladies,2025-07-18T13:00:00.000Z,Hallo Open Jasa Pajak  ~ Tanggapan SP2DK ~ Bukti Potong ~ Pembuatan Laporan Keuangan  ~ Lapor SPT Tahunan Kurang Bayar/Lebih Bayar 10jt-100jt   #jokipajak #coretax #zonauang
65,pajakmdnbelawan,2025-07-18T12:59:31.000Z,"#KawanPajak, waspada penipuan yang mengatasnamakan DJP!  Modus penipuan seperti phising, sniffing, dan social engineering kembali marak, termasuk yang dikaitkan dengan implementasi Coretax DJP."
66,Resitwo,2025-07-18T12:55:41.000Z,Bener coretax itu gaada yg dipenjara kambing
67,dodisegrovee,2025-07-18T12:55:37.000Z,"Konsep potential loss digunakan secara selektif  Jika Tom yang salah, hukumannya konkret.Jika negara yang salah ?  Coretax adalah studi kasus tentang kesalahan negara yg tak pernah dihukum  Karna kegagalannya dibungkus bonus, jabatan, dan proyek digital mahal atas nama pelayanan"
68,jumpladies,2025-07-18T11:00:01.000Z,"Haloha Open Jasa Pajak  - Pembuatan Laporan Keuangan  - Pembuatan Neraca Laba Rugi + lapor SPT - Pembuatan Surat Keterangan Bebas Fiskal/Surat Keterangan Fiskal - Lapor SPT Tahunan Orang Pribadi, UMKM, Badan Usaha  - Keberatan Pajak   #jokipajak #zonauang #coretax"
69,yutayuppi,2025-07-18T10:51:53.000Z,"Si anjir beneran nih divisi ga di perusahaan A ga di perusahaan B sama aja, minta tolong bantu daftarin coretax malah pada balik duluan tai dah"
70,brive__,2025-07-18T10:50:05.000Z,"Masih penasaran, Coretax yang jelas2 ngerugiin negara, ngerepotin pegawai DJP, bikin susah WP & PKP.   Tapi kok belum berita pengusutan ya?"
71,Jelli_cent,2025-07-18T10:44:48.000Z,"Hmmm Biar bisa ""diefisiensikan"" lagi?   Percaya gitu coretax jalan dg tambahan anggaran? Yg Ada jg palingan ""dimanfaatkan"" anggarannya"
72,kyuwoo03,2025-07-18T10:32:40.000Z,"@kring_pajak  ka mau tnya, saya mau buat pembetulan SPT PPh Masa Jan krn ada kesalahan input jenis pasal PPh, yg berakibat adanya lbh bayar.  1. Trs saya mau mengajukan PBKnya, apakah melalui coretax atau msh bisa secara manual (tulis surat ke KPP) ka?"
73,shiname___,2025-07-18T10:24:28.000Z,Coretax minta di hajar
74,yukitamazia,2025-07-18T10:15:22.000Z,"aduh, flashback ke coretax."
75,feivst,2025-07-18T10:09:17.000Z,Coretax(?)
76,arifbalikpapan1,2025-07-18T10:06:18.000Z,"Minta tambahan lagi 1,79T? Apa mau bikin Coretax Baru? Kok ya enak minta anggaran sebegitu besarnya kalau mau perbaiki software"
77,kring_pajak,2025-07-18T08:57:56.000Z,"Hai, Kak.  Mohon maaf atas ketidaknyamanannya. Jika masih mengalami kendala yang sama setelah melakukan beberapa cara di atas, error pada laman Coretax DJP bisa dilaporkan melalui sistem MELATI untuk dibuatkan tiket permasalahan melalui helpdesk KPP atau layanan Kring Pajak"
78,kring_pajak,2025-07-18T08:56:52.000Z,"Hai, Kak.  Terkait pelaporan SPT Masa PPN, pada sistem Coretax kompensasi lebih bayar PPN akan secara otomatis diperhitungkan untuk Masa Pajak berikutnya. Oleh karena itu, tidak ada lagi menu pilihan Masa Pajak tujuan kompensasi pada pelaporan SPT Masa PPN di e-Faktur Coretax."
79,kring_pajak,2025-07-18T08:54:27.000Z,"Hai, Kak.  Taxmin konfirmasi terlebih dahulu. Apakah sudah dipastikan data kompensasi dari SPT Masa PPh Pasal 21 pembetulan yang dimaksud telah masuk di menu “Surat Pemberitahuan (SPT)-Dasbor Kompensasi” pada Coretax DJP? Dan apakah SPT Masa PPh Pasal 21 yang Kakak akan laporkan"
80,kring_pajak,2025-07-18T08:47:01.000Z,"Hai, Kak.  Apakah yang dimaksud adalah membuat faktur pajak pengganti? Jika iya, saat ini faktur pajak pengganti dapat dibuat melalui coretax ya kak.  Tks*Rika."
81,ishkzl_,2025-07-18T08:46:40.000Z,"ngebuat coretax sampe 1.3T tapi aktivasi akun masih harus ke KPP terdekat. sinting y djp. tu duit lu pake ape, ngaku gk!"
82,DDTCNews,2025-07-18T08:37:28.000Z,"Cara Mengajukan SKB PPh Atas Warisan Tanah-Bangunan Lewat Coretax  Pengalihan harta berupa tanah dan/atau bangunan karena waris juga memperoleh pengecualian kewajiban pembayaran atau pemungutan PPh, asal ada SKB dari DJP.  #ddtc #ddtcnews #KonsultasiPajak"
83,kring_pajak,2025-07-18T08:28:22.000Z,"Hai, Kak. Notifikasi tersebut muncul karena NIK belum terdaftar dalam sistem Coretax. Sehingga, sistem memberikan opsi kepada Wajib Pajak untuk menggunakan TIN 9990000000999000 sebagai TIN sementara penerima penghasilan pada bukti potong PPh Pasal 21.  Agar bukti potong dapat"
